Supplier,Commodity,orders,sales,avg_risk,sales_norm,orders_norm,Procurement_Score,Risk_Level
AfganistÃ¡n,Battery Materials,17,4731.00013368,0.6684468523880001,0.0030789530563643426,0.0019028430714125811,0.1670808283371918,High
AfganistÃ¡n,Interior Components,31,4610.510118431001,0.6098484005012258,0.003000537691699425,0.00346989030669353,0.19666993911823563,High
AfganistÃ¡n,Mechanical Assemblies,4,1276.65003106,0.71989097658575,0.0008308487431773325,0.00044772778150884264,0.14039331188638,High
AfganistÃ¡n,Metal Components,40,10782.92017378,0.4759303532161625,0.007017565860808382,0.0044772778150884264,0.2650355487131789,Medium
AfganistÃ¡n,Plastic Components,19,9124.34998889,0.6016008734248948,0.005938162014757414,0.0021267069621670027,0.20140635328441323,High
AfganistÃ¡n,Semiconductors,52,8043.43019128,0.5643776483473076,0.005234695259209623,0.005820461159614954,0.22054567663603206,Medium
Albania,Battery Materials,3,899.940033,0.6380042161723333,0.0005856844296883709,0.000335795836131632,0.1812407564099662,High
Albania,Interior Components,5,699.87001418,0.5748256170306,0.0004554780930731252,0.0005596597268860533,0.21283576685799915,Medium
Albania,Metal Components,9,3399.8000641999997,0.7437499988053333,0.0022126029386843197,0.0010073875083948958,0.1289902589806176,High
Albania,Plastic Components,6,999.59999086,0.15891949621333332,0.0006505435130068715,0.000671591672263264,0.42086973328168803,Low
Albania,Semiconductors,14,2299.920044,0.6144320262375,0.0014967967974583846,0.0015670472352809493,0.19354643536754368,High
Alemania,Battery Materials,970,253154.03836741,0.5286942061266953,0.1647536204054215,0.10857398701589434,0.3067937804614577,Medium
Alemania,Interior Components,2102,335732.367721224,0.5896553620007243,0.21849591429024864,0.2352809491828968,0.3177772831232918,Medium
Alemania,Mechanical Assemblies,259,71902.92071059,0.5923197022626003,0.04679469694100169,0.028990373852697558,0.22367663272153984,Medium
Alemania,Metal Components,1795,618452.29054082,0.5583405927977493,0.40249112584467817,0.20091784195209314,0.38176060974494747,Medium
Alemania,Plastic Components,1153,273787.55853665003,0.5538055773890633,0.17818199457442,0.1290575330199239,0.30236331628177915,Medium
Alemania,Semiconductors,3285,521142.64122861,0.5607286356591813,0.33916163235541913,0.36769644056413703,0.3949234599898625,Medium
Angola,Battery Materials,34,7852.31025529,0.4757188734501324,0.005110313670872857,0.0038056861428251623,0.26443479460476066,Medium
Angola,Interior Components,65,9683.15025712,0.5879259973545999,0.00630183137538913,0.007275576449518693,0.20938266602522052,Medium
Angola,Mechanical Assemblies,6,614.89999963,0.15940917534308333,0.0004001792812773738,0.000671591672263264,0.42054978444729424,Low
Angola,Metal Components,46,15834.03033476,0.7839124113029783,0.010304847752319378,0.00514886948735169,0.112165022571677,High
Angola,Plastic Components,40,6222.5099409800005,0.596762511530925,0.004049633367085794,0.0044772778150884264,0.20372908980768092,Medium
Angola,Semiconductors,115,17459.120386489998,0.5888466388849434,0.011362462599129652,0.012872173718379225,0.21155985408094308,Medium
